Ort,AGS,Tablets je 100 Schüler,Aussage Tablets,Laptops je 100 Schüler,Aussage L,Desktoprechner je 100 Schüler,Aussage D,Whiteboards je 100 Schüler,Aussage W,Ausgaben je Schüler,Aussage A,Mittelwert NRW Tablets,Mittelwert NRW Laptops,Mittelwert NRW Desktop,Mittelwert NRW Whiteboards,Mittelwert NRW Ausgaben,Bemerkungen
Straelen,5154052,"6,7",⬇,"1,2",⬇,"8,1",⬇,"2,3",⬆,"58,6",⬆,"7,8","3,3","10,4","1,2","57,2",
Südlohn,5554060,0,⬇,"5,6",⬆,"6,7",⬇,"0,6",⬇,7,⬇,"7,8","3,3","10,4","1,2","57,2",
Sundern (Sauerland),5958044,"4,4",⬇,"3,4",⬆,"16,3",⬆,"2,6",⬆,"22,9",⬇,"7,8","3,3","10,4","1,2","57,2",
Swisttal,5382064,"1,7",⬇,"4,3",⬆,"18,1",⬆,"2,9",⬆,"17,3",⬇,"7,8","3,3","10,4","1,2","57,2",
Tecklenburg,5566088,0,⬇,0,⬇,0,⬇,0,⬇,"29,9",⬇,"7,8","3,3","10,4","1,2","57,2",
Telgte,5570044,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Titz,5358056,0,⬇,"1,3",⬇,"10,6",⬆,"0,5",⬇,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",
Tönisvorst,5166028,"3,5",⬇,"4,8",⬆,"5,1",⬇,"1,3",⬆,"18,4",⬇,"7,8","3,3","10,4","1,2","57,2",
Troisdorf,5382068,"6,9",⬇,"8,9",⬆,"13,4",⬆,"0,9",⬇,"44,9",⬇,"7,8","3,3","10,4","1,2","57,2",
Übach-Palenberg,5370028,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Uedem,5154056,0,⬇,"3,7",⬆,"1,9",⬇,"5,6",⬆,"3,1",⬇,"7,8","3,3","10,4","1,2","57,2",
Unna,5978036,1,⬇,"12,9",⬆,"2,4",⬇,"1,5",⬆,"22,8",⬇,"7,8","3,3","10,4","1,2","57,2",
Velbert,5158032,"1,5",⬇,"1,5",⬇,10,⬇,0,⬇,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",
Velen,5554064,"9,2",⬆,"1,7",⬇,"16,1",⬆,"7,2",⬆,"210,2",⬆,"7,8","3,3","10,4","1,2","57,2",
Verl,5754044,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Versmold,5754048,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Vettweiß,5358060,"16,4",⬆,"10,9",⬆,"1,8",⬇,"2,3",⬆,"205,2",⬆,"7,8","3,3","10,4","1,2","57,2",
Viersen,5166032,"1,7",⬇,"4,5",⬆,"11,7",⬆,"0,2",⬇,"16,8",⬇,"7,8","3,3","10,4","1,2","57,2",
Vlotho,5758036,"92,7",⬆,"7,7",⬆,"9,9",⬇,"0,6",⬇,"72,6",⬆,"7,8","3,3","10,4","1,2","57,2",
Voerde (Niederrhein),5170044,"2,1",⬇,"4,5",⬆,"8,2",⬇,"2,6",⬆,"26,6",⬇,"7,8","3,3","10,4","1,2","57,2",
Vreden,5554068,"13,9",⬆,"3,3",⬆,"12,4",⬆,"0,6",⬇,"78,1",⬆,"7,8","3,3","10,4","1,2","57,2",
Wachtberg,5382072,0,⬇,0,⬇,0,⬇,0,⬇,"149,1",⬆,"7,8","3,3","10,4","1,2","57,2",
Wachtendonk,5154060,0,⬇,15,⬆,"5,7",⬇,"3,9",⬆,"7,7",⬇,"7,8","3,3","10,4","1,2","57,2",
Wadersloh,5570048,0,⬇,"2,9",⬇,"18,4",⬆,4,⬆,"25,5",⬇,"7,8","3,3","10,4","1,2","57,2",
Waldbröl,5374044,"0,8",⬇,"4,7",⬆,"16,1",⬆,0,⬇,"13,7",⬇,"7,8","3,3","10,4","1,2","57,2",
Waldfeucht,5370032,"2,9",⬇,"12,3",⬆,"13,3",⬆,"3,9",⬆,"170,9",⬆,"7,8","3,3","10,4","1,2","57,2",
Waltrop,5562036,"2,3",⬇,2,⬇,"13,7",⬆,"0,6",⬇,"33,2",⬇,"7,8","3,3","10,4","1,2","57,2",
Warburg,5762036,"15,8",⬆,"4,9",⬆,"10,1",⬇,"2,1",⬆,"66,8",⬆,"7,8","3,3","10,4","1,2","57,2",
Warendorf,5570052,"6,2",⬇,"5,4",⬆,"10,1",⬇,"0,5",⬇,"3,3",⬇,"7,8","3,3","10,4","1,2","57,2",
Warstein,5974044,11,⬆,"3,1",⬇,"7,8",⬇,"1,2",⬇,"69,4",⬆,"7,8","3,3","10,4","1,2","57,2",
Wassenberg,5370036,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Weeze,5154064,0,⬇,"4,7",⬆,"11,2",⬆,"4,5",⬆,"12,3",⬇,"7,8","3,3","10,4","1,2","57,2",
Wegberg,5370040,"3,6",⬇,"3,7",⬆,"8,6",⬇,"0,4",⬇,"57,8",⬆,"7,8","3,3","10,4","1,2","57,2",
Weilerswist,5366040,0,⬇,"12,2",⬆,"0,8",⬇,2,⬆,"93,1",⬆,"7,8","3,3","10,4","1,2","57,2",
Welver,5974048,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Wenden,5966028,"9,5",⬆,"4,1",⬆,"8,8",⬇,"0,5",⬇,"40,5",⬇,"7,8","3,3","10,4","1,2","57,2",
Werdohl,5962060,"9,6",⬆,6,⬆,8,⬇,"0,1",⬇,"218,3",⬆,"7,8","3,3","10,4","1,2","57,2",
Werl,5974052,"6,8",⬇,"2,7",⬇,"15,4",⬆,"2,2",⬆,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",
Wermelskirchen,5378032,"13,8",⬆,"6,4",⬆,"17,9",⬆,"3,6",⬆,"81,8",⬆,"7,8","3,3","10,4","1,2","57,2",
Werne,5978040,"25,8",⬆,"1,1",⬇,"11,7",⬆,"2,9",⬆,"36,1",⬇,"7,8","3,3","10,4","1,2","57,2",
Werther (Westf.),5754052,"9,6",⬆,"0,5",⬇,"8,2",⬇,"2,2",⬆,"137,8",⬆,"7,8","3,3","10,4","1,2","57,2",
Wesel,5170048,"4,4",⬇,"2,8",⬇,"5,1",⬇,"1,4",⬆,"75,5",⬆,"7,8","3,3","10,4","1,2","57,2",
Wesseling,5362040,"0,4",⬇,"3,3",⬆,14,⬆,"2,2",⬆,17,⬇,"7,8","3,3","10,4","1,2","57,2",
Westerkappeln,5566092,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Wetter (Ruhr),5954032,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Wettringen,5566096,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Wickede (Ruhr),5974056,"13,4",⬆,"6,2",⬆,"12,9",⬆,"0,3",⬇,"106,7",⬆,"7,8","3,3","10,4","1,2","57,2",
Wiehl,5374048,0,⬇,"2,4",⬇,0,⬇,"1,5",⬆,"40,9",⬇,"7,8","3,3","10,4","1,2","57,2",
Willebadessen,5762040,"5,3",⬇,28,⬆,"6,7",⬇,8,⬆,"126,8",⬆,"7,8","3,3","10,4","1,2","57,2",
Willich,5166036,"13,4",⬆,"4,9",⬆,"6,7",⬇,"0,5",⬇,"40,4",⬇,"7,8","3,3","10,4","1,2","57,2",
Wilnsdorf,5970044,"0,8",⬇,"3,1",⬇,"9,8",⬇,"6,1",⬆,"64,8",⬆,"7,8","3,3","10,4","1,2","57,2",
Windeck,5382076,"3,8",⬇,"1,1",⬇,"10,8",⬆,"1,5",⬆,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",
Winterberg,5958048,0,⬇,"5,5",⬆,"6,9",⬇,"3,1",⬆,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",
Wipperfürth,5374052,"4,6",⬇,"3,7",⬆,"19,3",⬆,"4,9",⬆,154,⬆,"7,8","3,3","10,4","1,2","57,2",
Witten,5954036,"4,6",⬇,"0,7",⬇,"16,2",⬆,"0,4",⬇,"51,6",⬇,"7,8","3,3","10,4","1,2","57,2",
Wülfrath,5158036,"4,2",⬇,"3,9",⬆,"7,4",⬇,"0,4",⬇,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",
Wuppertal,5124000,"6,5",⬇,6,⬆,"11,7",⬆,"0,2",⬇,"17,7",⬇,"7,8","3,3","10,4","1,2","57,2",
Würselen,5334036,"12,7",⬆,"26,5",⬆,"4,4",⬇,"1,3",⬆,"271,8",⬆,"7,8","3,3","10,4","1,2","57,2",
Xanten,5170052,2,⬇,"2,4",⬇,"8,1",⬇,"0,1",⬇,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",
Zülpich,5366044,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
